date,text,label
2016-01-28,"april gold down 20 cents to settle at $1,116.10/oz",2
2017-09-13,gold suffers third straight daily decline,2
2016-07-26,gold futures edge up after two-session decline,0
2018-02-28,dent research : is gold's day in the sun coming soon?,1
2017-06-09,"gold snaps three-day rally as trump, lawmakers reach debt-ceiling deal",2
2016-08-16,"dec. gold climbs $9.40, or 0.7%, to settle at $1,356.90/oz",0
2013-09-24,"gold falls by rs 25 on sluggish demand, global cues",2
2016-09-23,"gold futures fall for the session, but gain for the week",0
2012-10-21,"gold struggles; silver slides, base metals falter",1
2018-03-16,"april gold holds slight gain, up $2.50, or 0.2%, at $1320.20/oz.",0
2009-04-02,"feb. gold ends up $9.60, or 1.1%, at $901.60 an ounce",0
2017-07-28,"gold trades in red in early trade; eyes near-term range at rs 28,300-28,600",2
2011-10-31,"gold loses 1.3%, but logs monthly gain of 6.3%",0
2013-09-21,gold recovery? here's one way to play it,0
2017-09-22,"gold prices rebound rs 350 on global cues, weak rupee",0
2016-11-05,"can investment in gold, sensex & ppfs give the same returns?",1
2013-05-14,gold rush spooks economy as trade deficit surges to $17.8 bn,0
2018-04-09,"gold futures down at rs 30,244",2
2018-04-09,"state street : gold likely to climb back to $1,350 an ounce by the end of 2018",0
2016-09-12,gold prices slip lower as dollar remains supported,2
2017-03-02,gold to trade in 28670-29160 range: achiievers equities,1
2015-06-19,"gold holds firm near $1,200 on dovish fed",1
2017-09-25,gold prices finish at a more than one-week high,0
2018-02-28,india : is gold a good investment in a volatile market?,1
2012-12-13,gold futures down over $20/oz ahead of settlement,2
2017-01-30,"gold holds modest gains, up $3.10, or 0.3%, at $1,191.50/oz. after data",0
2006-03-15,april gold up $1.40 to end the day at $554.40/oz in ny,0
2011-01-11,"gold, silver may trade lower today: angel commodities",2
2017-10-26,"kaz minerals lifts copper, gold guidance",0
2017-02-28,gold little-changed after data,1
2017-11-27,germany : why gold market in germany is thriving,0
2009-06-19,"august gold ends up $1.60, or 0.2%, at $936.20",0
2010-04-14,gold futures at highest since early december,0
2004-12-22,gold futures close narrowly lower,2
2018-11-23,gold edges up ahead of g20 meeting; set to post second weekly gain,0
2004-03-12,feb gold falls 10c to $452.20/oz in morning ny trade,2
2000-05-30,gold little changed; copper sinks,1
2013-07-01,gold swings between gains and drops on stronger dollar,0
2018-06-20,charts : gold gld etf update - breakdown ?,1
2011-12-19,"feb. gold down $1.20 to close at $1,596.70/oz",2
2005-01-19,philly gold and silver index falls 0.5% to end at 93.53,2
2016-10-19,"dec. gold settles at $1,269.90/oz, up $7, or 0.6%",0
2018-03-21,gold prices hold onto gains ahead of fomc statement,1
2017-10-08,"december gold trades 0.8% higher at $1,289/oz.",0
2018-05-21,gold bulls push for the exits on strong dollar and lack of fear,2
2010-04-14,"gold ends 0.5% higher, at $1,159.60 an ounce",0
2015-03-26,"gold futures soar above $1,200, amid escalating conflict in yemen",0
2013-05-23,gold settles at its highest level in a week,0
2017-08-18,"gold prices rise for a third day, buoyed by geopolitical worries",0
2017-01-12,gold holds near 3-1/2 week low as investors opt for riskier assets,2
2018-02-16,"gold ends higher, logs biggest weekly gain since 2016",0
2017-06-16,"august gold rises 0.2% at $1,257.50/oz.",0
2004-04-21,gold futures at seven-week low,2
2017-09-27,gold edges down as dollar gains on fed rate hike view,2
2018-09-20,van eck : tighter global monetary policy to support gold market,0
2018-06-06,"gold rebounds to rs 31,860 on firm global cues",0
2016-07-29,"december gold gains $4.10, or 0.3%, to $1,345.30/oz.",0
2017-11-09,gold prices settle at lowest level in more than a week,2
2010-09-29,"dec. gold down 30 cents at $1,310/oz on globex",2
2016-09-13,"dec. gold settles at $1,323.70/oz, down $1.90, or 0.1%",2
2017-02-22,"gold jumps 0.3% from settlement price after fed minutes to $1,237.40 an ounce",0
2010-08-01,"gold lost 1% to $1,121.80 an ounce",2
2016-09-03,gold futures fall for a third straight session,2
2011-08-31,gold has best monthly performance since nov. 2009,0
2017-02-10,gold prices settle at lowest level in nearly 8 weeks,2
,"gold futures climb back above $1,200/oz on comex",0
2003-02-10,metals shares turn higher; gold futures still lower,2
2012-06-18,gold declines first time in seven days after greek elections,2
2017-10-26,gold gains on weaker dollar; markets brace for ecb decision,0
2017-12-12,gold holds modest loss after ppi report,2
2017-11-28,february gold contract notches highest settlement in over a week,0
2017-07-27,"august gold climbs by $10.60, or 0.9%, to settle at $1,260/oz",0
2010-03-23,"gold finishes higher at $1,103.70/oz",0
2018-11-01,debt : global debt surges - gold and silver investors' patience will soon pay off,0
2008-04-22,"gold futures open higher, as dollar drops",0
2011-08-03,gold futures close with a more than $7 loss,2
2017-08-30,"gold surrenders 11-month highs on stronger dollar, upbeat economic data",2
2013-09-10,gold edges up in electronic trade post-fed minutes,0
2018-12-06,when will gold's 'summer doldrums' end? history says pretty soon,1
2017-06-29,gold ends lower as rise in government bond yields dulls investment interest,2
2013-08-23,gold jewellery exports fall 70% in july,1
2011-04-29,"silver, gold near lifetime highs, dollar loses ground",2
2012-07-23,african barrick gold production declines,1
2016-06-14,"gold futures down at rs 30,568 on weak global cues",2
2004-05-05,"metals shares fall, but gold futures edge up",0
2008-06-27,august gold ends up $16.20 at $931.30 an ounce on nymex,0
2004-01-29,"gold futures fall under $400, first time since dec. 2",2
2016-03-11,ghana makes government certificate mandatory for exporting dore gold,1
2018-05-01,gold holds modest loss after ism services data,2
2016-08-18,gold notches two-week high on expectations fed will lift rates slowly,0
2012-07-12,gold prices gain in major metros in india,0
2018-03-05,gold futures mark first gain in four sessions,0
2007-06-11,"gold sets fresh multi-decade high of $815.2/ounce, up $4.4",0
2011-01-12,support for mcx gold feb at rs 28800: kotak commodity,1
2014-04-24,microsoft ceo sees 'gold rush' in the cloud,1
2017-01-26,gold ends at lowest level in over 2 weeks as dollar strengthens,2
2016-07-04,"gold, silver bounce on global cues, jewellers buying",0
2013-12-16,gold scores gain for second session in a row,0
2015-02-20,jewellers want gold import duty cut to 2%,1
2013-09-13,"gold heads for worst week in 2 months on syria, fed",1
2011-05-08,"gold hits new high of rs 24,350; silver sheds rs 3,100",0
2005-01-11,dec gold falls $4.10 to $462.80/oz in morning ny trade,2
2016-09-12,"gold at 10-month low, down 5 weeks in a row",2
2018-04-13,abc refinery gains shanghai gold exchange accreditation,1
2011-10-24,spot gold rates move up today,0
2016-04-02,"gold jumps above $1,150 as u.s. dollar collapses to 3-month low",0
2016-07-12,gold futures end higher after back-to-back drop,0
2018-06-07,natixis : look for gold to rally in september as usd weakens,0
2017-10-24,silver steals the shine as gold loses lustre,2
2006-09-20,kinross gold agrees $500 million credit facility,1
2017-10-10,"dec. gold settles at $1,293.80/oz, up $8.80, or 0.7%",0
2009-08-06,gold ends at two-week low as dollar continues to strengthen,2
2016-08-29,gold futures fall 0.24% on global cues,2
2018-06-07,gold prices to trade lower today: angel commodities,2
2012-06-25,gold rates: mcx goldguinea july contract declines,2
2018-09-01,india : jewellers & bullion traders spar over gold import duty,1
2013-12-03,gold prices may slip to rs 28745-27850: mangal keshav,2
2001-07-17,"gold issues, futures prices inch up",0
2017-07-20,"august gold settles at $1,245.50/oz, up $3.50, or 0.3%",0
2018-08-01,gold prices remain lower on stronger u.s. dollar,2
2018-05-01,gold prices pull back from 4-month highs,2
2014-06-01,"feb. gold down $3.70, or 0.3%, at $1,234.90/oz",2
2016-02-08,"december gold gains $8.50, or 0.6%, at $1,368.50/oz.",0
2006-05-17,gold futures climb above $700 an ounce in morning dealings,0
2016-01-14,gold etfs record rs 900 cr outflow in 2015; aum down 20%,2
2013-04-09,gold may touch rs 35500/10gms in few days: kishore narne,1
2018-08-20,how trumpenomics torpedoed gold prices,1
2017-07-20,"august gold off 0.5% at $1,253.90/oz.",2
2017-06-26,"august gold down $10, or 0.8%, to settle at $1,246.40/oz",2
2017-03-28,"april gold down $1.60, or 0.1%, at $1,254.10/oz after highs above $1,258",2
2017-09-01,"feb. gold settles at $1,184.90/oz, up $11.50, or about 1%",0
2011-01-03,"gold, oil hold to gains after ism data",1
2014-09-25,"price-fixing of gold, oil to become a crime in u.k.",1
2008-08-07,gold holds steady as dollar firms,1
2000-10-10,gold gains on dollar weakness,0
2017-11-16,"gold rate today: gold, silver down in morning trade",2
2013-03-05,modern medicine strikes gold,1
2010-05-26,gold prices gain along with stock futures,0
2001-04-24,metals issues climb; gold steadies,0
2008-11-09,gold falls for ninth day as dollar rises vs. euro,2
2018-03-21,gold futures finish at a 1-week high ahead of fed decision,0
2018-02-20,fred hickey - buy gold,0
2017-07-09,"december gold up 0.3% at $1,343.30/oz.",0
2017-05-12,here's what's driving bitcoin buyers' rush to 'millennial gold',1
2013-05-20,"more steps' to curb gold imports, if needed",1
2017-11-27,"dec. gold settles at $1,294.40/oz, up $7.10, or 0.6%",0
2004-02-24,gold shares buoy bay street,1
2011-12-05,gold ends higher; silver down 2% after steep loss,2
2017-02-02,gold futures log highest settlement since mid-november,0
2009-11-26,"gold closes above rs 18,000-level on strong global cues",0
2008-10-15,"gold ends lower at rs 13,130",2
2018-01-11,"gold glitters ahead of dhanteras, diwali",0
2015-08-04,"gold holds above $1,200/oz on weaker dollar before fed minutes",1
2012-06-07,"gold, silver encounter profit-selling, global cues",0
2013-10-17,gold surges most in four weeks on dagong us downgrade,0
2014-03-08,gold / silver / copper futures - weekly outlook: august 4 - 8,1
2017-03-17,"april gold settles at $1,230.20/bbl, up $3.10, or 0.3%",0
2015-09-11,gold prices gain in asia as china cpi up less than expected,0
2018-04-05,"gold futures end slightly higher, but tally a third straight weekly loss",0
2017-02-03,have a question about gold? ask the author of 'precious metals investing for dummies' now,1
2018-07-12,sharps pixley: chinese gold demand slipping - but still up y-o-y,0
2017-10-13,expect gold to trade sideways: sushil finance,1
2017-07-31,today gold price: track today gold rate latest trends and news,1
2011-10-24,"dhanteras: this season, it is lightweight gold, silver",1
2009-11-27,"hiding behind gold's flashy moves, oil's the true performer",0
2012-02-05,"gold, oil trade lower as jobs data weigh",2
2018-06-08,sge : daily shanghai gold benchmark price,1
2008-05-03,"gold futures rise, as dollar edges lower",0
2017-02-13,gold suffers from biggest single-day dollar and percentage loss since jan. 25,2
