date,text,label
2025-06-11,"gold price $3500 vs. the investing crowd article:did gold investing prices leap too far already in 2025...? did gold $3500 mark a big top for the safe-haven metal back in april? asks adrian ash at bullionvault. history says maybe. investment professionals think so, too. ""according to bank of america's latest fund managers survey, nearly half of the fund managers surveyed (49%) see long gold, or bets that gold prices will rise, as the most crowded trade in the market right now. ""this,"" explained yahoo! in april, ""marks the first time in two years that fund managers did not see the magnificent seven [of giant us tech stocks] as wall street's most crowded trade."" gold's over-crowding then got worse in may, or so the 208 institutional fund managers replying to boa's monthly survey said. a massive 58% of them labelled gold ""the most crowded trade""...! but really? sure, physical gold investing has picked up in 2025. march and april each brought bullionvault more first-time users than any month since new year 2021. most of them have chosen to buy gold first. but new account openings held a long way short of the genuine gold rush in 2020 or 2011, before easing back in may and june so far... ...and while lots of retail coin-and-bar shops will tell you (via the more gullible end of the mainstream media) that they are flooded with demand, the torrent of secondhand coins and bars sold back to them has continued to match if not drown it. secondly, yes.",0
2025-06-11,"some finance-industry products also saw demand rise. but only some, and only somewhat. gold-backed etf trust funds worldwide, for instance, needed the most bullion at the start of may since way back in september 2022. but that quantity rose only 15% from the 4-year low hit a year ago, and trust funds listed in europe grew less than 7%... ...before the global total then shrank for 3 weeks running this may. more telling still, speculative betting on us gold futures and options actually fell as the price raced up to april's new all-time highs. because the hot money of hedge funds, ctas and other 'managed money' traders has walked away from gold, not pushed in, so far in 2025. over the 21 weeks since new year's eve, the price of gold has risen by 28%. yet the size of the net spec long in comex gold futures and options has shrunk by more than a third, dropping below its 10-year, 5-year and 3-year averages and defying its previous but currently broken link with gold's price direction. so whatever ""crowd"" is buying and boosting gold, it doesn't work or trade in london, frankfurt, paris or new york. but that's hardly news. because time and again since gold turned decisively higher in late 2023, the data and the facts on the ground point instead to china's private gold-market flows, plus 'the rest vs. the west' among central banks and sovereign wealth. are those two trades crowded?",0
2025-06-11,"maybe. ""the largest traders in shfe gold have accumulated a new all-time-high position size,"" says commodity strategist daniel ghali at canadian brokerage td securities. but there's no relationship bullionvault can find between the size of speculative betting in shanghai futures and the direction of prices (contrasting with the way that us comex bulls tend to track if not drive the price). and besides, as ghali also notes, ""chinese gold etf flows remain muted"", snapping the sharp rise (albeit from a very low base) seen earlier this year. central banks, meantime, continue adding gold to their official reserves as a group overall... ...but at a slower pace as prices hit fresh record highs in april... ...led by the long-time gold loving nbp of poland, followed by the czechs, chinese and turkey. add in unofficial, unreported gold reserves demand however, and total central-bank purchases are set to top 1,000 for the 4th year running in 2025 on the forecast estimate from specialist analysts metals focus. that's a big number, the biggest since before world war 2 when first breached in 2022. but it's not accelerating, not in weight terms, on mf's analysis. so that crowd is now a longstanding (if cloaked) feature of the market. and anyway, are those the crowds which boa's fund managers are talking about anyway? the boa survey asks a daft question and gets a daft answer. what its respondents mean by ""crowded"" isn't defined.",0
2025-06-11,"nor is the market insight or intelligence which tells them what other investors are doing. sure, there are many more bulls who are now much more vocal than there were six or 12 months ago, let alone when gold was half today's price back in mid-2022. but simply scrolling through the headlines on your phone doesn't tell you anything about what other investors are really doing with their money (or their clients' savings). nor does it cut through the hype to show you whether salesmen and promoters are making it up or not. fact is, the very idea of trying to spot the ""most crowded trade"" is a psychological snake-pit writhing with bias, envy and fomo... ...and boa's question most likely reflects a) what an actual crowd doesn't currently own, and therefore b) which asset they want to believe has run too high, too fast, because they have missed out. and lo! fund managers who don't own gold also think it's over-valued, too. ""usually, when you ask a bunch of investors whether something is under- or overvalued, and a bunch of them agree, the thing to do is run the other way,"" writes columnist robert armstrong at the financial times, also reviewing may's boa survey. ""the interesting bit is that the last two times a lot of managers agreed that gold was overvalued, in 2020 and in 2011, they were right. ""look at how gold performed subsequently (dark blue line). after 2011's fall, it took a decade for gold to retake its high in nominal terms."" interesting, yes. but useful?",0
2025-06-11,"if the boa survey offers a guide to gold's future value, its 100% strike rate represents only 2-in-2 so far. that's nowhere near a pattern. more notably, the survey has also given two clear 'false positives' to date as well (early 2010, late 2024). so again, boa's survey most likely says ways more about the psychology of fund managers than it does about gold's record price run of either 2011, 2020 or 2025 to date. as for the gold market itself, it's far from empty. but crowded with bulls it ain't. ""nordnet fund savers bought global funds in may, dumped gold and silver,"" says a headline about the swedish share-trading platform. ""gold is out, equities are in,"" says a report from india quoting asset managers whiteoak. ""bitcoin etfs pull in $9 billion as investors ditch gold holdings,"" adds bloomberg, pointing to us trust-fund flows. bottom line? gold has jumped and lots of fund managers missed it. but that doesn't make it over-valued or crowded. and where the boa survey may have value as a contrarian guide, it's far more likely to shine a light on us equities and other rich-world stock markets rather than gold. cos that's what the fund management crowd buys and sells. glance at gold's price chart, meantime, and you can't miss the size and speed of this spring's surge. that might suggest $3500 marked an important, long-term high. because gold has a nasty habit of setting big ugly tops. more to come in part 2...",0
2025-06-03,"gold investing trends higher at fresh record prices article:underlying gold investment price tops new highs... gold investing sentiment continues to trend higher as the 'safe haven' precious metal sets fresh record prices, says adrian ash at world-leading marketplace bullionvault. gold in may swung as much as 10.8% below april's all-time high of $3500 per troy ounce. but its month-average price rose for the 5th month in a row, gaining 2.2% to set a new record at $3278 per troy ounce. like gold's underlying price, western gold investing sentiment also rose, with the gold investor index also rose adding 0.7 points to 55.5 in may. that trend gave the highest reading on bullionvault's unique measure of investors who chose to buy versus those choosing to sell since february's 28-month high of 56.3, and it pulled the gold investor index's 12-month average up to 54.0, the strongest underlying level since august 2023. back then, gold was trading at $1920 per ounce, almost two-fifths (41.4%) below last month's average price. by weight, investor profit-taking in gold was offset by demand in may. that contrasted with april's heavy net liquidation of gold, and it kept the combined holdings of bullionvault users as a group virtually unchanged at 43.7 tonnes, now worth $4.6 billion (£3.4bn, €4.0bn).",0
2025-06-03,"the number of new first-time investors eased back by one-third (37.4%) from april's 50-month high, but it held nearly two-thirds (62.8%) above may last year and it was more than one quarter greater (26.5%) than the past 5 years' monthly average, led by the uk (+32.7% from its 5-year monthly average), germany (+40.3%), spain (+66.5%) and ireland (+70.2%). the united states, however, continued to show relatively weak new investor interest in precious metals, with the number of first-time bullionvault users dropping 44.6% last month from april's 48-month high, down 13.9% versus may 2024 and 16.4% beneath the past 5 years' monthly average. but the balance of us-resident gold buyers versus sellers on bullionvault rose for a second month running, taking the us-only gold investor index up to 52.7, its highest in 2 years. so while us exceptionalism appears to extend to the need for portfolio insurance, sentiment towards the precious metal keeps trending higher, albeit from a lower base than among european investors. silver's month-average price rallied 1.4% in may, rising back to $32.70 after the more industrially-useful precious metal dropped 2.8% from march's 12.5-year high of $33.18 per troy ounce amid april's us tariff-policy chaos. in contrast to april's heavy net buying of silver, demand for silver was matched almost exactly by investor selling last month, keeping bullionvault clients' combined holdings just above 1,160 tonnes with a value of $1.2 billion (£916m, €1.1bn).",0
2025-06-03,"the silver investor index, however, sank to 51.8, down 6.5 points from april's sudden 49-month high. this sharp retreat confirms that bargain-hunting drove april's spike. but as with the gold investor index, sentiment keeps trending upwards, marking higher highs and higher lows as the industrially-useful precious metal's underlying price continues to rise. on a 12-month basis, silver prices rose in may above $31 per troy ounce for the first time since new year 2013. as for gold, its run of month-average gains has now made the strongest start to any year since 2006, matching the 5-month covid crisis run of april-to-august 2020 with the longest unbroken stretch of gains since the 8-month run ending in september 2011, the peak of gold's global financial crisis bullion market. so while the trump white house is promoting crypto, the uncertainty and volatility spurred by the president's policies provide the perfect backdrop for fresh gains in gold, making it the best-performing asset of 2025 so far. that extends gold's market-beating returns across the 21st century to date, confirming its appeal as a vital portfolio asset.",0
2025-05-29,"platinum price 'could hit $1200' amid 2025 supply deficit article:platinum week sentiment positive despite autocat decline... the price of platinum could have further to run from this month's sudden 2-year highs according to leading analysts. but while new mine supply will again fail to match the size of demand for the 3rd year running, platinum's market deficit will continue to be met by ample stockpiles of the industrial precious metal, capping its 2025 investment potential. ""the platinum market is expected to be in a deficit for a third consecutive year in 2025,"" says consultancy sfa (oxford) in analysis published by precious metals refiners heraeus. ""but this has not been reflected in the price...and plenty of stock remains available in 2025."" ""platinum's benign long-term demand outlook will encourage investors to buy on dips,"" agrees specialist consultancy metals focus, also launching its latest market analysis last week, ""but plentiful inventory will cap the upside."" still finding its largest single industrial use in autocatalysts to reduce harmful emissions from fossil-fuel engines, platinum peaked above $1100 per troy ounce this monday for the first time since may 2023 after jumping by 10.5% as mining executives, refiners, bankers, dealers, traders and analysts met for london platinum week.",0
2025-05-29,"that beat the platinum price spike made during last year's event. ""china was a very good physical buyer at the platinum price around $950,"" reuters quotes one precious metals trader, after new data said the world's no.1 manufacturing economy imported the most in a year last month, jumping by almost one-half from march's figure. ""the spike above $1000 will mute this demand."" last week also saw hedge funds and other speculators trading nymex platinum futures and options on the cme derivatives exchange turn bullish as a group for the first time since the start of april. data starting in 2006 says that the managed money category was never net negative on platinum prior to the dieselgate scandal which broke in september 2015, but those traders as a group have bet against the white precious metal 31.3% of the time since then. a court in braunschweig, germany this week sentenced two former executives at nearby automaker volkswagen to two and four years in prison respectively, and gave suspended sentences of more than a year to two other members of what the judge called a ""gang"" which cheated emission-testing systems. shares in vw (etr: vow3) are now trading back down at the sudden lows hit in the 60% crash of 2015, when the dieselgate scandal began hurting sales of diesel-engine passenger vehicles and hitting sentiment towards platinum, as did the surge in sales of battery electric vehicles.",0
2025-05-29,"the slew of new analyst forecasts published for platinum week all expect auto-sector demand for platinum and its sister palladium to decline once again in 2025. that's despite a slowdown in the sales growth of bevs, for which production is expected to rise by less than 1/5th this year according to the mining industry's world platinum investment council. uk-based autocat and pgm refining specialist johnson matthey last week agreed the sale of its catalyst technologies (ct) business to honeywell international for £1.8bn ($2.4bn). that news saw jm's share price (lon: jmat) leap 30.7% to hit a 12-month high. like jmat, the share price of belgian autocat and refining specialist umicore (ebr: umi) last month hit its lowest level since early 2009, down 87.6% from umi's record high of mid-2021. yet this month's platinum week found sentiment ""a lot more positive"" towards the precious metal's outlook, says adrian hammond, executive director precious metals, oil and gas at south african brokerage sbg securities. ""i suspect that's because the vaults are a little bit emptier. [manufacturers] have been through a phase of destocking,"" while 'primary' supply from new mine output as well as 'secondary' scrap are both ""quite weak"". newly mined platinum output will fall 6% in 2025, the world platinum investment council predicts, reversing more than twice the growth seen last year. ""we expect to see profit-taking near platinum's two-year high,"" metals focus says, ""prompting a price correction.",0
2025-05-29,"but we do expect that the metal could rally as high as $1200.""",0
2025-05-14,"gold volatility tops silver's the most since 9/11 article:$100 days make gold jumpier than stocks, too... another week, another slug of $100 days in the gold price, writes adrian ash at bullionvault. monday was $100 happier if you were buying... ...or $100 annoyed if you were selling... ...and with wednesday coming close again, bullionvault users keep doing plenty of both, just like they did last month. silver also saw heavy trading in april, and also because of big price swings. but while gold trading is still running strong, silver trading has eased back. and while historical data say that silver prices typically swing harder and faster than gold, that's not true right now. in fact, our analysis of the statistics shows that gold is now jumpier than silver by the widest margin since the 2001 terror attacks of 9/11. volatility is the way that analysts measure how jumpy an asset's price is, or isn't. high is bad, low is good. or so investment managers think. short-term traders like it the other way around. because quicker moves make for fast money, if you call it right. there's a number of ways to track volatility. our statistics use the standard deviation maths (just like most such analysis does), crunching the size of the price swings for gold and silver, day-to-day, across every 21-day period (ie, one month of weekday trading).",2
2025-05-14,"that number is then spat out as an annualized percentage... ...and the blue line in bullionvault's chart above simply tracks the difference between gold's rolling 1-month volatility and the rolling 1-month vol in silver. as you can see, gold is usually less volatile than silver. much less volatile. over the past 6 decades in fact, gold has shown 16.2% volatility on average. for silver, the data averages out at 28.8%. this is why silver, famously, is known as ""the devil's metal"". it's likely to jump or plunge far more often than gold... ...crushing any short-term traders who think they can guess which way it's going to swing next, most especially if they're betting with leverage through futures and options or cfds and spreads rather than spot-market cash prices. but who's the devil's metal now? because over the past month, the price of gold has swung more violently than silver. that's rare. since april 1968, when open-market gold prices were cut free from the dollar's official value of $35 per troy ounce, gold has been more volatile than silver less than 9% of the time. and over the past 2 decades, that statistic falls to just 1.1% of the time. indeed, up until late last week, the dollar-price data say that gold hadn't been more volatile than silver since mid-april 2022... ...immediate aftermath of russia starting its 'special operation' to invade ukraine. back then, gold out-freaked silver by just 1.7 percentage points.",2
2025-05-14,"whereas this monday, gold's 1-month volatility reached 12.0 percentage points above silver's if you track their london benchmark prices day-to-day. that means gold has been out-freaking the devil's metal by the widest margin since late-september 2001... ...immediate aftermath of al qaeda's 9/11 atrocities on new york and the pentagon. that terrible day coincided with gold prices finally finding their floor after a 2-decade bear market. (lots of other factors counted too, but it's how history already likes to remember it.) today, in contrast, gold has been soaring to fresh record highs, swinging lower only to set fresh record highs yet again, before swooning below $3200 this wednesday. so has the past month's dramatic gold price action marked a blow-off top for the 'safe haven' metal? maybe. but gold's sudden skittishness shouldn't spook investors out of the precious metal, not by itself. compare gold to the stock market, for instance. yes, gold is currently out-freaking the s&p500 index by a wide margin. day-to-day over the past month, its volatility is a hefty 14.3 percentage points higher. but over the past 5 years, gold has been less volatile than that major us stock index almost 2/3rds of the time... ...only out-pacing the stock market's volatility 37.3% of the time on our analysis of london 3pm vs. the new york close. silver, in contrast, has been more volatile than the s&p index nearly 9/10ths of the time (89.1% to be exact).",2
2025-05-14,"so while gold's sudden freak-out might give some newer investors the jitters, it's got a long way to go...plus a whole heap of history to overcome too...before it gets anywhere close to matching the volatility of the stock market, never mind silver prices.",2
2025-05-12,"which country owns the most gold? gold reserves by nation article:data and charts for today's top 10 largest gold buyers and holders... central bank gold buying is a vital factor in the global gold bullion market today. over the past 5 years, central banks as a group have chosen to buy almost 1 in every 8 ounces produced by global gold mining. their demand outweighed inflows to gold-backed etf investment products more than 5 times over. in fact, the total quantity of gold now reported to be held in national central-bank reserves – shown on bullionvault's interactive data table and map below – today accounts for 17% of all the gold ever mined in all of history. which countries lead this central-bank gold buying? here, bullionvault shares data and analysis revealing both today's largest gold reserves holders plus which nations have chosen to buy the most gold since the start of 2020. as we shall see, china, poland and india have topped the table for gold buying since the covid pandemic began 5 years ago, with russia close behind. but none of those counties top the table for outright gold reserves holders. not yet, and not on the official data at least. get the full picture of the world's largest central bank gold buyers and holders with these interactive map and tables. top 10 countries by gold reserves 2025 gold continues to be a cornerstone of financial security for many nations in the 21st century, especially in times of global uncertainty.",0
2025-05-12,"over the five years to 2025, central banks around the world have continued to bolster their bullion reserves as a hedge against inflation, currency fluctuations, and geopolitical instability. but which countries hold the most gold? explore all the gold reserves data in detail at the bottom of the page. usa official data for the start of 2025 says that the united states continues to lead the global gold rankings with a massive 8,133.5 tonnes of gold held in reserve. against its population of close to 340 million, this translates to an average of 23.9 grams of gold per person, worth almost $2200 per head at gold's early 2025 prices. despite no change in reserve volume over the past five years, that per capita figure underscores the scale of america’s longstanding investment in gold as a strategic asset. the consistent volume also reflects the federal reserve’s conservative approach to its gold policy. germany germany’s gold reserves amount to 3,351.6 tonnes, maintaining its position as europe’s top gold-holding nation. with a population of just over 83 million, this equates to an impressive 40.2 grams per person. this high per capita figure reflects germany’s deep-rooted trust in gold as a store of value, managed by the deutsche bundesbank. although the tonnage has dipped slightly from 2019, the country's commitment to gold remains firm. italy based on italy’s official data for the end of 2024, its gold holdings stand firm at 2,451.9 tonnes, unchanged from five years earlier.",0
2025-05-12,"with a population nearing 58.9 million, the country enjoys a strong 41.6 grams of gold per capita, one of the highest ratios in europe. this consistent reserve level demonstrates italy’s continued reliance on gold as a key component of its national financial security, overseen by the banca d’italia. france france holds a substantial 2,437.0 tonnes of gold, virtually unchanged from five years ago. with a national population approaching 64.8 million, this amounts to around 37.6 grams of gold per capita. managed by the banque de france, the country’s long-standing commitment to gold underscores its strategic role in safeguarding monetary stability, even as public interest in gold fluctuates. russia russia has, on its publicly stated data, boosted its gold holdings to 2,333.1 tonnes, reflecting a steady rise from its start-2020 level. with a population of approximately 144.4 million, this equates to 16.2 grams per capita. though not the highest on the list, russia’s strategic focus on increasing its reserves over time points to a broader effort to bolster economic independence and reduce exposure to foreign currencies. china china’s gold reserves grew significantly to 2,279.6 tonnes by the end of 2024, marking a continued upward trend in accumulation. however, with a vast population of over 1.42 billion, the country still only holds 1.6 grams of gold per person, one of the lowest per capita levels among major reserve holders.",0
