Date,Content,Label
2000-01-11,gold slightly lower on dollar moves,2
2000-02-15,gold is poised for greatness,0
2000-02-17,gold falls on technical pull back,2
2000-03-24,gold quiet on lack of market news,1
2000-04-05,gold and silver stocks in relief rally,0
2000-04-27,gold futures steady as index climbs,1
2000-05-17,"gold prices, stocks weaken",2
2000-05-19,gold steady ahead of u.k. auction,1
2000-05-30,gold little changed; copper sinks,1
2000-06-21,"metals mixed, gold stocks climb",0
2000-06-22,gold slightly lower,2
2000-06-27,gold mixed in light trading,1
2000-06-28,gold up after fed's rate decision,0
2000-07-06,gold slips after four days of gains,2
2000-07-09,palladium rallies as gold falls,2
2000-07-12,gold prices fall; palladium rises,2
2000-08-07,quokka goes for olympic gold,1
2000-08-09,gold lower in quiet trading,2
2000-08-11,gold futures prices little changed,1
2000-08-24,"gold prices, company shares gain",0
2000-09-14,gold steady on dollar's strength,1
2000-10-10,gold gains on dollar weakness,0
2000-10-16,gold slips for a second-straight day,2
2000-10-17,gold slips amid selling overseas,2
2000-10-23,gold quiet in low-volume trading,2
2000-10-26,gold shares higher; futures prices fall,0
2000-11-07,gold prices lower ahead of auction,2
2000-12-13,"gold shares, prices decline",2
2000-12-15,gold mining stocks as a safe haven,1
2000-12-21,gold prices little changed; shares fall,1
2001-02-01,gold shares climb as prices fall,0
2001-02-02,"gold shares, futures prices decline",2
2001-02-11,gold sees steady trading session,1
2001-02-20,"gold stocks, futures prices decline",2
2001-02-22,"gold stocks, prices slightly higher",0
2001-03-05,gold prices rise as palladium falls,2
2001-03-07,"metals issues shine, gold prices ease",0
2001-03-10,metals issues lower; gold prices climb,0
2001-03-13,"gold prices, shares drop",2
2001-03-20,gold futures market closes higher,0
2001-03-29,palladium and gold prices decline,2
2001-04-24,metals issues climb; gold steadies,0
2001-05-03,"metals shares rise, gold prices steady",1
2001-05-17,gold price lifts metal stocks,0
2001-05-18,gold spikes to 9-month high,0
2001-05-30,gold falls for seventh trading day,2
2001-06-19,gold futures prices close higher,0
2001-06-25,1150am update:barrick gold gets bigger,1
2001-07-03,"metals issues, gold prices climb",0
2001-07-06,gold issues dull; prices advance,2
2001-07-17,"gold issues, futures prices inch up",0
2001-08-11,gold futures drop to two-week low,2
2001-09-02,"gold shares climb, futures prices fall",0
2001-09-20,gold shares turn higher; prices drop,2
2001-09-26,gold futures post sharp gains,0
2001-10-01,"gold closes lower, palladium rises",2
2001-10-04,gold prices fall further,2
2001-10-12,"gold futures prices, shares lower",2
2001-10-17,invest in gold mutual funds,1
2001-10-17,"gold prices, shares post gains",0
2001-10-23,"gold futures steady, shares inch up",0
2001-11-09,220pm update: gold and oil climb after attacks,0
2001-11-14,mega-gold merger is big bet on metal,1
2001-11-15,"oil, gold losses hurt canada stocks",2
2001-11-30,"gold prices, metals issues climb",0
2001-12-18,gold futures prices top $280 an ounce,0
2002-01-08,gold stocks rebound as market falls,2
2002-01-14,anatomy of a budding gold rally,1
2002-01-23,gold futures slip a bit further,2
2002-02-08,bay street buoyed by gold stocks,1
2002-02-12,gold prices up as stock market falters,0
2002-02-14,van eck gold bug still bullish,1
2002-02-25,gold prices dull on newmont news,2
2002-02-28,"gold futures, metals shares gain",0
2002-03-01,gold falls in slow start to new year,2
2002-03-05,gold newsletters jump off bandwagon,0
2002-03-06,slim gains for nymex gold futures,0
2002-03-06,"gold, silver rally as broad market sags",0
2002-03-14,"gold futures, issues in dull dealings",2
2002-03-20,japan's gold imports surge 7-fold,1
2002-03-20,japan's gold imports surge 7-fold,1
2002-03-21,gold bugs index at 2-year high,0
2002-03-22,"stock funds move higher, led by gold",1
2002-03-26,gold's easy money lures wall street,1
2002-04-15,"gold futures, metals issues decline",2
2002-04-29,gold dips after strong charge,2
2002-05-02,gold funds spell long-term losers,2
2002-05-03,gold pulls back from earlier rise,0
2002-05-04,gold futures slip for a third session,2
2002-05-07,"gold rally to resume, say analysts",0
2002-05-09,gold climbs as broader market drops,0
2002-05-17,dollar plunge propels gold stocks,0
2002-05-22,how high can gold go?,0
2002-05-22,gold stock indexes touch new highs,1
2002-05-23,south african gold,1
2002-05-24,gold stocks down ahead of holiday,2
2002-05-28,gold futures breach $325 an ounce,2
2002-05-28,gold futures breach $325 an ounce,2
2002-05-30,gold stocks lose ground,2
2002-06-08,gold stocks rally at the close,1
2002-06-12,gold shows its mettle,0
2002-06-13,gold stocks pressured by disinflation,1
2002-06-14,"gold, silver stocks rally",0
2002-06-17,gold and silver stocks fall,2
2002-06-27,"crude ends higher, gold declines",2
2002-06-28,"gold, silver stocks end week lower",2
2002-07-15,gold stocks retreat from earlier gains,0
2002-07-19,gold shares up amid blue chips dive,0
2002-07-22,"gold, silver stocks sell off",1
2002-07-31,gold stocks end in the red,1
2002-08-07,gold stocks lift on a weaker dollar,0
2002-08-08,fall in wholesale prices hit gold stocks,2
2002-08-14,"gold falls as dollar, equities rebound",2
2002-08-27,gold shows designed to woo main st.,1
2002-09-05,gold stocks broadly higher,0
2002-09-05,gold fields up in nyse debut,0
2002-09-23,gold execs make bold bullion bets,1
2002-09-29,attention turns to small gold producers at denver forum,1
2002-09-30,gold futures' $5 climb boosts shares,0
2002-10-05,gold stocks regain strength at close,0
2002-10-05,gold funds shine in down week,0
2002-10-06,"kinross gold buying echo bay, tvx",1
2002-10-15,"metals stocks, gold futures prices sink",2
2002-10-19,is america's great real estate gold rush in trouble?,1
2002-10-30,metals issues climb; gold futures fall,2
2002-11-02,gold fields head sees better days,1
2002-11-06,gold reversal buoys bay street,1
2002-11-07,"gold, silver stocks under pressure",2
2002-11-09,"gold prices fall, issues reverse course",2
2002-11-10,"copper, aluminum soar; gold flat",1
2002-11-27,harmony gold mining adrs debut on nyse,1
2002-12-03,metals shares up on gold's price gain,0
2002-12-06,gold rally running on hope,0
2002-12-12,gold futures touch 6-month high,0
2002-12-13,gold backers -- finally -- in nirvana,1
2002-12-13,u.s. stocks headed lower as gold spikes,2
2002-12-13,u.s. stocks headed lower as gold spikes,2
2002-12-16,gold stocks jump-start bay street,0
2002-12-16,"gold prices hit $338, issues shoot up",0
2002-12-20,not everything that glitters is gold,1
2002-12-23,"bay street gains; gold, energy strong",0
2002-12-23,soaring gold ends near six-year high,0
2002-12-26,"dollar slips, gold extends recent surge",2
2003-01-05,meridian gold up 6.1% in $xau,0
2003-01-08,gold futures near two-week low; metals shares fall,2
2003-01-08,gold futures end the week with a nearly 5% loss,2
2003-01-10,gold futures close with a loss of more than $1,2
2003-01-12,gold futures top $400,0
2003-01-14,gold falls as stock market climbs,2
2003-01-16,"gold touches $359, nears 6-yr high",0
2003-01-21,gold futures hold above $357,1
2003-01-21,"gold gain is imminent, forecaster says",0
2003-01-23,"feb gold at $366.10, up $6.20 after $367.70 high",0
2003-02-04,"correct: june gold closes at $330.40/oz, down $4.80",2
2003-02-06,gold-mining stocks sag as dollar gains,1
2003-02-07,meridian gold closes sales onjerritt canyon interest,1
2003-02-09,philadelphia gold & silver index down 0.1% at 90.90,2
2003-02-10,metals shares turn higher; gold futures still lower,2
2003-02-14,"april gold hits four-week low at $350/oz, down $7.70",2
2003-02-18,"april gold at $345.10/oz, down $7.10 after $343.50 low",2
2003-02-18,"april gold closes down $7.90 at $344.30, a 2-month low",2
2003-02-26,weak stock market supports gold,0
2003-03-04,gold futures sink to four-month low,2
2003-03-04,gold futures at four-month low,2
2003-03-07,gold futures edge higher; metals shares mixed,0
2003-03-09,gold futures close higher on the session,0
2003-03-10,metals shares slip; gold futures climb,0
2003-03-12,gold futures close with only a 20-cent gain,0
2003-03-18,barrick gold up 3.2% in $xau,0
2003-03-20,"spot gold at $335.20 an ounce, off 40 cents - kitco",2
2003-03-21,"gold sinks as u.s., allies gain ground",2
2003-03-24,"april gold closes at $329.50/oz, up $3.40",0
2003-03-30,gold up more than $2 to $333.80/334.30 /oz. in sydney,0
2003-04-02,researcher nails gold-price forecast,1
2003-04-02,gold futures close near $380 an ounce,1
2003-04-08,gold banc names robert gourley to board,1
2003-04-09,gold futures pare losses at close,2
2003-04-11,"gold futures, metals shares inch up",0
2003-04-17,freeport-mcmoran copper & gold q1 eps 33c vs loss 3c,2
2003-04-21,gold futures close near $334 an ounce,1
2003-04-24,"gold futures close up, recover prior session's loss",0
2003-04-25,gold futures end the week with 2% gain,0
2003-05-02,april gold futures up $3.90 at $383.80 ahead of powell,0
2003-05-02,gold extends slide after powell ends u.n. address,2
2003-05-08,gold tempers bay street losses,2
2003-05-09,gold futures close at highest level since february,0
2003-05-09,"nortel, gold buoy bay street",1
2003-05-11,gold futures close near $383 an ounce,1
2003-05-14,gold futures rise to fresh two-month high,0
2003-05-14,gold climbs to fresh two-month high,0
2003-05-16,gold futures bend to profit-taking,1
2003-05-16,gold futures bend to profit-taking,1
2003-05-19,philadelphia gold & silver index rises 3.3%,0
2003-05-19,spot gold prices rise $4 from ny to $367.75 in asia,0
2003-05-21,gold prices climbs for a sixth day,0
2003-05-23,gold banc in restitution deal with fmr ceo mike gullion,1
2003-05-27,"gold futures, metals stocks climb amid dollar weakness",0
2003-05-28,philadelphia gold & silver index falls 3.6%,2
2003-05-30,"gold futures, metals indexes fall back",2
2003-06-01,"crude eases in london, but gold holds gains",0
2003-06-05,gold futures near highest level in eight weeks,0
2003-06-05,gold futures near highest level in eight weeks,0
2003-06-05,glamis gold ltd. q1 revenue at $20.7 mln vs $18.2 mln,1
2003-06-11,gold futures fall as economic data lifts dollar,2
2003-06-11,gold prices fall after two-session climb,2
2003-06-13,"gold futures close up on session, down on week",0
2003-06-16,gold futures close near $360; metals shares climb,1
2003-06-18,companhia vale do rio doce sells gold mine for $20.9m,1
2003-06-19,"prudential ups gold price target, newmont rating",1
2003-06-23,"gold prices, metals shares close lower",2
2003-06-25,"aug gold ends at $349.60, up 0.8% ahead of fed decision",0
2003-06-25,"aug gold down in evening trading, down $1.50 at $348.10",2
2003-06-26,gold prices close more than $5 lower,2
2003-06-27,gold prices close down $11 on week,2
2003-06-27,gold futures climb; metals stocks narrowly higher,0
2003-07-02,april gold up $3.50 at $374.20/oz after $375.60 high,0
2003-07-04,"spot gold at $321.40 in asia, down $4.1 from ny close",2
2003-07-04,allied advances weigh on gold,1
2003-07-15,august gold contract down as much as $6.50 an ounce,2
2003-07-16,"techs, gold take down toronto",2
2003-07-23,philadelphia gold & silver index rises 3.8%,0
2003-07-25,cboe gold index up 0.9%,0
2003-07-29,gold prices close more than $3 lower,2
2003-07-30,"gold under $357, low point for week",2
2003-08-04,"gold higher with eyes on dollar, iraq",0
2003-08-09,gold futures metals shares ease back,1
2003-08-09,dec gold down $2.60 at $376.10; gold indexes down 1%,2
2003-08-10,gold gains give edge to bay street,0
2003-08-13,bema gold shares hit 52-wk high ahead of russia results,0
2003-08-13,bema gold updates russia kupol results,1
2003-08-13,gold futures at fresh two-week high,0
2003-08-13,gold futures at fresh two-week high,0
2003-08-14,"gold futures, metals index reach fresh highs",0
2003-08-15,"gold lower on session, up on week",2
2003-08-18,maxam gold president and ceo dale l. runyon dies,1
2003-08-21,gold falls on upbeat economic data,2
2003-08-22,gold futures end just short of week-ago close,2
2003-08-25,gold futures close lower; palladium climbs,2
2003-08-27,nymex gold rallies back above $370,0
2003-08-29,"gold futures rally, carrying metals stocks higher",0
2003-09-04,spot gold prices rise $4.40 to $326.50 in asia,0
2003-09-04,meridian gold up 2.5% in $xau,0
2003-09-04,barrick gold gets favorable court ruling on epa report,1
2003-09-05,"gold futures close flat on session, up 2% on week",0
2003-09-06,gold closes lower monday,2
2003-09-09,"dec gold up $7.60, up 2%, at $383.80/oz",0
2003-09-09,gold futures close at seven-year high,0
2003-09-09,crystallex to detail costs for gold deposits,1
2003-09-12,gold futures continue rise; metals shares fall,2
2003-09-15,gold marks four-session losing streak,2
2003-09-15,"gold futures close lower, but off the session's lows",2
2003-09-19,gold rises $1.30,0
2003-09-22,gold rises $4.60 per ounce,0
2003-09-22,metals shares end higher on gold price rally,0
2003-09-25,gold futures top $393 an ounce,0
2003-09-28,spot gold trading at $381.10 an ounce - kitco,0
2003-09-30,gold's gains prompt higher q3 close for metals stocks,0
2003-10-02,internet gold q4 earns 5c vs. 2.5c,1
2003-10-02,gold drops on news that iraq will allow spy flights,2
2003-10-02,gold stocks lose luster,2
2003-10-07,"gold slips, silver rises, and stocks trade mixed",0
